word,translation
Abbau,消失，消除；裁减，减少，削减
abbauen,拆卸；减少；开采；分解；体力衰退；退化
abbrechen,折断；终止；拆除；折断；停止
abenteuerlich,冒险的，离奇的
Abenteuerlust,冒险精神
Abfahrt,出发，启程，启航
abgeben,发表，公布；交出，交给；放弃
abgeschlossen,自成一体的独立的
abgesehen,除……之外；预见，看出
abgrenzen,定界，标界，划定界线；划清界限
Abhängigkeit,从属，依赖
ablaufen,进行，进展；流走，流去；结束，过期
ablegen,放下，脱下；放弃，抛弃；参加，进行
ableiten,引出，导出，引开；得出，推导，推演；出自，源于
abriegeln,门上，门住，（严密）封锁—地区
Absage,拒绝；回绝
abschreiben,抄袭，剽窃；抄写，着写；扣除；折旧；写坏；书面谢绝
abschwächen,削弱，使减轻，使平衡
absolvieren,毕业于，结业，学完；完成；通过
Absperrung,障碍物；封锁
Absprache,约定，商定
Abstammung,起源；出身
Abstand,距离，间隔，间差；间距，距离
abstrakt,抽象的，不具体的，概念化的
Abteil,分隔出的格子；车厢内的全部乘客；车厢隔间
abwägen,考虑，权衡，思量；称重；审查
abweichen,偏离，背离，离开；背离，（意见）不一致
Acht,八
aggressiv,侵略的，攻击的；好斗的，好动火的；进攻性的
ähneln,相像，相似，酷似
Akademie,学会，协会；学院，高等专科学校；科学院，研究院
akustisch,声学的；有声的，有音响效果的
akut,急性的；急迫的，紧张的
alkoholfrei,不含酒精的
Allesfresser,杂食动物
Alltagssprache,日常用语
allzu,太，过分
Alzheimer,阿尔茨海默氏症
Amt,部，局，处；差事；职位
amtlich,官方的，因公的，公务上的；正式的
Amtsinhaber,在职者，现任者
Amtssprache,官方语言；正式语言
Analogie,类似，相应性
analytisch,分析的；解析的
Anbau,接连的房屋；接连；种植
anbringen,安装，固定，装上；表明，叙述；卖，销售，出售；提出（建议等）；安置，安顿
andernfalls,要不然。否则。
andeuten,勾画，勾勒；暗示，预示；大概说明，粗略叙述；显露，显示出，显现
anerkannt,得到承认的，公认的，有声望的
anerkennen,承认，认可；赞许，重视，赞赏
anerkennend,有鉴赏力的。认出的。识别的。
Anfang,起源；开始，开端
anfügen,附上，添加，增补
anfühlen,触摸，（试探性地）摸；手感，摸上去有某种感觉
angehen,攻击，进攻，袭击；涉及，牵涉，与……有关；恳求，请求，恳请；开动，开始，过得去，还可以
Angel,钓竿，挖；铰链
angelehnt,半掩
angemessen,适当的，适宜的，适度的，恰当的，得体的
angesichts,面对，鉴于，考虑到
angestellt,有工作的，受长期聘用
angewiesen,依靠，依赖
Angewohnheit,习惯
Angriff,开始做某事；抨击；进攻，袭击
