word,translation
fachlich,专业的，专门的
Fachwelt,某一行的所有人，专业界，业内人士（总称）
Fairness,正派，公正；道德，风格
Fakt,事实
fälschlicherweise,错误地
farbenfroh,丰富多彩的，色彩明亮的
fassen,握住，抓住，揪住，捉住；领会，理解；容纳，储存；镇静，克制，自制，忍耐
Faszination,魅力，吸引力，魔力
Faust,拳，拳头
Faustregel,大致的（不精确的）法则
Fazit,结果，结论；最后的得数
Feedback,反馈；反应；（听众、观众对节目的）反应，反响
fehlen,丢失；缺少，缺乏；缺席，未到；身体欠安的
Fehlentscheidung,错误的决定
fehlerlos,无缺点的，无缺陷的，完美的
fein,细薄的，精细的，纤细的；精密的；锐敏的，灵敏的；细微的，细小的；精致的，优质的，精美的；正派的，规矩的
Feldtheorie,场论
fernliegen,远的
Fertigstellung,完成
festhalten,抓住，握住，紧握；坚持；抓住，扶住，把住
festlegen,确定，规定
Festspiel,文艺节，艺术节；为节日编写的戏剧
feststellen,确定，确认，断定；发觉，发现，注意到
Feststellung,强调；论断；发现，发觉；确定，查明
Feuerholz,木柴
Feuerwerk,烟火
Feuilleton,文艺评论文章；小品文章；文艺专栏
Feuilletonist,专栏作家
Fieberthermometer,体温表
Filmregisseur,电影导演
final,最后的，最终的，结束的，结局的
Finanzkrise,金融危机，财政危机
Firewall,火墙
Firmenkultur,企业文化
Fischer,渔民
flechten,编织，编结，编扎，插入
fluchen,骂，咒骂，诅咒
Flucht,逃跑，逃离，逃避
Flüchtling,难民，逃亡者
Flügel,侧面，侧翼，翼侧；机翼；扇，侧
Flyer,传单
folglich,因此，所以
Fördermaßnahme,资助措施
Forelle,鳄鱼
Forscher,研究者，学者
Forschungseinrichtung,研究设施
fraglich,有关的，已涉及的；无把握的，成问题的
Frauensache,妇女的事
Frauenzeitschrift,女性杂志；妇女杂志
freihalten,为……付款；保留
Freizeitkleidung,便服，休闲装，休闲服装
Freundlichkeit,友好的言行
freundschaftlich,友好的，友谊的，有交情的
Friedhof,公墓，坟地，坟场
friedlich,和平的，太平的；安宁的
frustriert,受挫折的；不满意的
führen,率领，领导；经营，掌管；带领，引导；操纵，驾驶；持有，携带；进行；领先；通向；导致；表现，举止
Führung,导游；警教，训练；进行；记录，登记，记账；表现；领导；驾驶；使用，运用；导向装置；领先
Führungszeugnis,品行与成绩证明书；有无犯罪证明
füllig,丰满的，丰腴的
fürsorglich,关心的，关怀的，照顾的
fusionieren,使合并；使联合
Galerist,画廊
Gänsehaut,鸡皮疙瘩
Garn,罗网
Gebärdensprache,打手势，手势语言
geben,给，让，给予，送给，交给
Gebirge,山，丛山
gebraucht,使用过的，旧的
Gebühr,费用
gebürtig,出生的，原籍的
gedacht,设想的，准备的
Gedächtnis,记忆力；回忆；纪念
geduldig,忍耐的，耐心的，有耐性的，能忍耐的
Gefahr,危险，风险，危害
gefährdet,受到危害的，危险的
gegenständlich,形象的，客观的，具体的
Gegenüber,面对；街对面的住户；街对面的房子；对面的人；在对面
Gegnerin,回答者
Gegner,对手，反对者；敌人
Gehilfe,出师者，满师者；帮凶，同谋；助手，帮手
Gehilfin,女助手，女助理
Gehirn,大脑，脑
Gehirnaktivität,大脑活动
gehoben,举起 抬起 提起；文雅的，高雅的
Gehweg,人行道，步行道
Geist,呼吸，生命，气息，精神实质，精神状态
geistig,精神的，思想上的；智力的
Gelände,地；地段，地带；地形，地势
Geldbörse,钱包
gelegentlich,偶然的，偶尔的，机遇的；偶尔，有时，间或
gelungen,奇特的，滑稽可笑的；成功的
Gemälde,油画
gemein,普通的，通常的，通俗的；公共的；相同的，共同的；卑鄙的，粗俗的，下流的
Gemeinschaft,集体，团体，社团，群体，共同体
Gemüsebeet,菜蛙
Gemüsegeschäft,菜店
Genauigkeit,节省；吝啬；认真，仔细，确切；准确，精确
Genehmigung,同意，允许，批准
Generation,代，辈，世代；同辈的人
Genie,天才
genügend,及格；足够的，充足的
Genuss,享受；乐趣
gepflegt,受照顾的，得到护理的。(花园)精心照料的。(草坪)修剪过的。整齐地。整洁地
geprägt,标
geraten,处于，进入，陷入；感到，发生；遇到，遇上；像，长得像；适宜的，适当的
Gerechtigkeitssinn,正义感
Gericht,荣誉；法院，法官；判决
Geringverdiener,低收入
Geruch,气味，名声
Geruchssinn,嗅觉
gesamt,全部的，所有的，总的
Geschäftsbedingungen,成交条件
Geschäftsbeziehung,商业关系
Geschäftsleitung,管理
Geschäftsmodell,商业模式
Geschick,命运，遭遇
geschützt,受保护的
Gesellschaftskritik,社会批评
gesetzlich,法定的，法律上的；合法的
gestalten,组织，举办，安排；使成为，构成；塑造，刻划；形成，发展，出现
Geste,手势，姿势；姿态，表示
gestehen,坦白，粗鲁，承认；供认，招认
gestresst,强调
gesundheitlich,卫生的，健康的，关于健康的
gesundheitsfördernd,健康
geteilt,分割的，分开的
Getreide,粮食作物，谷物；庄稼
Gewalt,力，力气
Gewerkschaft,工会
Gewinnerin,胜利者
Gewinner,赢家，中奖人；得胜者，获胜者
Gewissen,良心，良知
gewittern,下雷阵雨
Gewohnheit,习惯，习性，习俗
gewohnt,习惯的，熟悉的，习以为常的
gezeichnet,有标记的
Gießkanne,酒水壶
Giraffe,长颈鹿
Gitter,格栏，栅栏，棚子；栅极，光栅
glänzen,发光，闪光，发亮；耀眼，引人注目，光彩照人
Glashaus,玻璃花房
glaubhaft,可信的，可靠的，值得信赖的
gläubig,信赖的，虔诚的；确信的，深信不疑的，信赖的
glaubwürdig,值得信赖的，可信的，可靠的
gleichberechtigt,平等的，权利平等的
gleichermaßen,同样地，一样地
gliedern,划分，分布；划分成
global,全球的，全世界的；普遍的，概括的，总体的
Goldbarren,金条，金锭
golden,金的，黄金制的；金色的，金黄色的
gönnen,给予，赐予；欢迎……获得……，乐于见到……获得
Grab,墓穴，坟墓
Graffiti,乱涂乱画，图腾
Grafiker,版画家；图形艺术家
grafisch,图形的，图表的，图解的；版画的
Gravitation,地心引力，重力
greifen,抓，抓住，握住，逮住；伸手抓住，抓起；（有规律地）拿起
Grenze,限度；边界线，界限
Grenzgebiet,边境，边境地区
Grenzkontrolle,边境检查
Grenzsoldat,边防战士
Griff,把手，手柄；抓、拿、握；动作，手法，操作
Groll,怨恨，恼火
großformatig,大幅面
großteils,主要
grübeln,沉思，冥想
Gründerin,女创办人
Gründer,创建人，创立人，创办人，发起人
Grundlage,基础，根基
gründlich,彻底的，根本的；全面的，透彻的；仔细的
grundsätzlich,原则上的，原则性的，基本的，根本的
Gründung,地基；成立，建立，创建
Grundvoraussetzung,条件
Grundwasser,地下水
Gunst,有利
gütig,善良的，仁慈的
Gymnastik,体操
haben,有，具有；得到，获得
hageln,下水雷
Hai,鲨鱼
halten,抓住，拿住，握住；维持，保持；作，做，举行；遵守，信守；认为，看做
Haltung,举止，态度；姿势，体态
Handbewegung,手部动作
Handelsbeziehung,贸易关系
Handelsschule,商业学校
Handelsunternehmen,贸易公司
Handfläche,手掌，手心
Handwerk,手工业；手艺
handwerklich,手工的，手工制造的；内行的，有技能的
Handyvertrag,手机合同
hängen,吊，悬挂；依赖，取决于；依恋，眷恋；挂上，悬挂，悬挂；绞死，吊死；悬挂于
